Index	Lat			Lon			Icon	Name	Description	Notes	URL	Link Text	Altitude (m)	Distance (km)	Speed (m/s)	Course (°)	Time	HDOP	VDOP	PDOP	Satellites	Fix
0	52.458218	N	52° 27.493080' N	13.374131	E	13° 22.447860' E					""		50.400000	0.000000	0.000000	0.000000	44394.326053	0.000000	0.000000	0.000000	-1	Unknown
1	52.458092	N	52° 27.485520' N	13.374144	E	13° 22.448640' E					""		50.600000	0.014054	0.893135	175.644318	44394.326343	0.000000	0.000000	0.000000	-1	Unknown
2	52.458076	N	52° 27.484560' N	13.374135	E	13° 22.448100' E					""		50.700000	0.015937	0.941415	198.919388	44394.326366	0.000000	0.000000	0.000000	-1	Unknown
3	52.458025	N	52° 27.481500' N	13.373993	E	13° 22.439580' E					""		50.800000	0.027118	1.990336	246.951538	44394.326412	0.000000	0.000000	0.000000	-1	Unknown
4	52.458029	N	52° 27.481740' N	13.373882	E	13° 22.432920' E					""		50.900000	0.034660	2.384526	275.357422	44394.326435	0.000000	0.000000	0.000000	-1	Unknown
5	52.458060	N	52° 27.483600' N	13.373635	E	13° 22.418100' E					""		51.100000	0.051766	2.363900	278.121613	44394.326505	0.000000	0.000000	0.000000	-1	Unknown
6	52.458049	N	52° 27.482940' N	13.372816	E	13° 22.368960' E					""		51.800000	0.107334	7.397002	271.724823	44394.326632	0.000000	0.000000	0.000000	-1	Unknown
7	52.458074	N	52° 27.484440' N	13.372587	E	13° 22.355220' E					""		51.900000	0.123115	4.389264	283.194427	44394.326678	0.000000	0.000000	0.000000	-1	Unknown
8	52.458069	N	52° 27.484140' N	13.372435	E	13° 22.346100' E					""		51.900000	0.133440	2.173465	267.064178	44394.326725	0.000000	0.000000	0.000000	-1	Unknown
9	52.458104	N	52° 27.486240' N	13.372093	E	13° 22.325580' E					""		51.600000	0.156963	8.516533	279.024261	44394.326782	0.000000	0.000000	0.000000	-1	Unknown
10	52.458111	N	52° 27.486660' N	13.371901	E	13° 22.314060' E					""		51.300000	0.170010	6.523476	273.424133	44394.326806	0.000000	0.000000	0.000000	-1	Unknown
11	52.458134	N	52° 27.488040' N	13.371626	E	13° 22.297560' E					""		51.100000	0.188839	6.035242	278.485535	44394.326840	0.000000	0.000000	0.000000	-1	Unknown
12	52.458231	N	52° 27.493860' N	13.370979	E	13° 22.258740' E					""		50.600000	0.234035	6.424488	286.095459	44394.326944	0.000000	0.000000	0.000000	-1	Unknown
13	52.458348	N	52° 27.500880' N	13.370407	E	13° 22.224420' E					""		50.100000	0.274962	5.307793	288.970428	44394.327025	0.000000	0.000000	0.000000	-1	Unknown
14	52.458383	N	52° 27.502980' N	13.370175	E	13° 22.210500' E					""		49.900000	0.291174	5.166708	283.709625	44394.327060	0.000000	0.000000	0.000000	-1	Unknown
15	52.458417	N	52° 27.505020' N	13.370124	E	13° 22.207440' E					""		49.800000	0.296301	5.127625	317.572510	44394.327072	0.000000	0.000000	0.000000	-1	Unknown
16	52.458420	N	52° 27.505200' N	13.370052	E	13° 22.203120' E					""		49.800000	0.301197	4.895243	273.911835	44394.327083	0.000000	0.000000	0.000000	-1	Unknown
17	52.458398	N	52° 27.503880' N	13.369883	E	13° 22.192980' E					""		49.800000	0.312919	5.550627	254.887314	44394.327118	0.000000	0.000000	0.000000	-1	Unknown
18	52.458395	N	52° 27.503700' N	13.369790	E	13° 22.187400' E					""		49.900000	0.319236	6.317128	266.969666	44394.327130	0.000000	0.000000	0.000000	-1	Unknown
19	52.458440	N	52° 27.506400' N	13.369607	E	13° 22.176420' E					""		49.900000	0.332622	3.470286	294.646179	44394.327164	0.000000	0.000000	0.000000	-1	Unknown
20	52.458511	N	52° 27.510660' N	13.369476	E	13° 22.168560' E					""		49.900000	0.344514	6.934084	307.593170	44394.327187	0.000000	0.000000	0.000000	-1	Unknown
21	52.458522	N	52° 27.511320' N	13.369405	E	13° 22.164300' E					""		49.800000	0.349483	4.969231	284.265747	44394.327199	0.000000	0.000000	0.000000	-1	Unknown
